,precision,recall,f1-score,support
Apple__Fresh,0.9946808510638298,0.9920424403183024,0.9933598937583001,377.0
Apple__Rotten,0.9952941176470588,0.9791666666666666,0.9871645274212368,432.0
Banana__Fresh,0.9935897435897436,1.0,0.9967845659163987,310.0
Banana__Rotten,0.9975369458128078,0.995085995085995,0.996309963099631,407.0
Bellpepper__Fresh,0.8558558558558559,0.979381443298969,0.9134615384615384,97.0
Bellpepper__Rotten,0.7628865979381443,0.7628865979381443,0.7628865979381443,97.0
Carrot__Fresh,0.9285714285714286,0.9285714285714286,0.9285714285714286,84.0
Carrot__Rotten,0.921875,0.7763157894736842,0.8428571428571429,76.0
Cucumber__Fresh,0.9789473684210527,0.96875,0.9738219895287958,96.0
Cucumber__Rotten,0.9285714285714286,0.978494623655914,0.9528795811518325,93.0
Grape__Fresh,0.8717948717948718,0.9714285714285714,0.918918918918919,35.0
Grape__Rotten,1.0,0.8387096774193549,0.9122807017543859,31.0
Guava__Fresh,0.9714285714285714,1.0,0.9855072463768116,34.0
Guava__Rotten,0.9393939393939394,1.0,0.96875,31.0
Jujube__Fresh,0.9090909090909091,0.967741935483871,0.9375,31.0
Jujube__Rotten,1.0,0.7666666666666667,0.8679245283018868,30.0
Mango__Fresh,0.9891696750902527,1.0,0.9945553539019963,274.0
Mango__Rotten,0.9938271604938271,0.9470588235294117,0.9698795180722891,340.0
Orange__Fresh,0.987012987012987,0.9934640522875817,0.990228013029316,306.0
Orange__Rotten,0.9914772727272727,0.9971428571428571,0.9943019943019943,350.0
Pomegranate__Fresh,0.9722222222222222,1.0,0.9859154929577465,35.0
Pomegranate__Rotten,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0
Potato__Fresh,0.9431818181818182,0.9222222222222223,0.9325842696629213,90.0
Potato__Rotten,0.7157894736842105,0.918918918918919,0.8047337278106509,74.0
Strawberry__Fresh,1.0,0.9868421052631579,0.9933774834437086,228.0
Strawberry__Rotten,0.9873949579831933,0.9591836734693877,0.9730848861283644,245.0
Tomato__Fresh,0.9746835443037974,0.9871794871794872,0.9808917197452229,78.0
Tomato__Rotten,0.9634146341463414,0.9875,0.9753086419753086,80.0
accuracy,0.970193401592719,0.970193401592719,0.970193401592719,0.970193401592719
macro avg,0.9477957003685601,0.9491193646898111,0.9465867128707176,4395.0
weighted avg,0.9720370163832626,0.970193401592719,0.9704220820917028,4395.0
